number of cycles = 1000000; data structure = Hash4j UltraLogLog (p = 10)
true distinct count; minimum memory size; average memory size; maximum memory size; standard deviation memory size; minimum serialization size; average serialization size; maximum serialization size; standard deviation serialization size; relative distinct count estimation bias; relative distinct count estimation rmse; estimated memory MVP; estimated serialization MVP
1; 1056; 1056.0; 1056; 0.0; 1024; 1024.0; 1024; 0.0; -2.2539576038335286E-4; 2.9154889719313075E-4; 7.180864158718756E-4; 6.963262214515157E-4
2; 1056; 1056.0; 1056; 0.0; 1024; 1024.0; 1024; 0.0; -2.1593424873517336E-4; 0.010832248806393179; 0.9912681647920674; 0.9612297355559442
5; 1056; 1056.0; 1056; 0.0; 1024; 1024.0; 1024; 0.0; -2.2467051058338729E-4; 0.013980732920486034; 1.65125362401299; 1.6012156354065359
10; 1056; 1056.0; 1056; 0.0; 1024; 1024.0; 1024; 0.0; -2.2519164518685275E-4; 0.01482990425929831; 1.857935357751933; 1.8016342863049049
20; 1056; 1056.0; 1056; 0.0; 1024; 1024.0; 1024; 0.0; -2.3651672768774606E-4; 0.015252516502864948; 1.9653364656935761; 1.9057808152180131
50; 1056; 1056.0; 1056; 0.0; 1024; 1024.0; 1024; 0.0; -2.1577317919603965E-4; 0.015498069155178327; 2.029126366406852; 1.9676376886369475
100; 1056; 1056.0; 1056; 0.0; 1024; 1024.0; 1024; 0.0; -2.297517074396415E-4; 0.015632478008467395; 2.064474666652711; 2.0019148282692956
200; 1056; 1056.0; 1056; 0.0; 1024; 1024.0; 1024; 0.0; -2.477932398522153E-4; 0.01575638767820089; 2.0973321825203484; 2.0337766618379134
500; 1056; 1056.0; 1056; 0.0; 1024; 1024.0; 1024; 0.0; -2.4356359649863326E-4; 0.016053306024889476; 2.1771225428093035; 2.1111491324211427
1000; 1056; 1056.0; 1056; 0.0; 1024; 1024.0; 1024; 0.0; -1.9088705643205558E-4; 0.016475420724117104; 2.293120794933766; 2.2236322859963793
2000; 1056; 1056.0; 1056; 0.0; 1024; 1024.0; 1024; 0.0; -1.3458170908424468E-4; 0.017363562701337657; 2.5470154802043856; 2.469833192925465
5000; 1056; 1056.0; 1056; 0.0; 1024; 1024.0; 1024; 0.0; -2.2639531606457498E-5; 0.019611600910804976; 3.249226593125032; 3.1507651812121518
10000; 1056; 1056.0; 1056; 0.0; 1024; 1024.0; 1024; 0.0; -3.255877564272387E-6; 0.021596584558398746; 3.9402525008399913; 3.820850909905446
20000; 1056; 1056.0; 1056; 0.0; 1024; 1024.0; 1024; 0.0; -1.953479622056034E-5; 0.02270835048376268; 4.356373246945884; 4.224361936432372
50000; 1056; 1056.0; 1056; 0.0; 1024; 1024.0; 1024; 0.0; -1.014930144764775E-5; 0.023373345368150666; 4.615254536207886; 4.475398338140981
100000; 1056; 1056.0; 1056; 0.0; 1024; 1024.0; 1024; 0.0; -1.068310287145443E-5; 0.02360739192959375; 4.708146041005001; 4.5654749488533355
200000; 1056; 1056.0; 1056; 0.0; 1024; 1024.0; 1024; 0.0; 1.503459619217359E-6; 0.023699043507174902; 4.744774114333177; 4.600993080565504
500000; 1056; 1056.0; 1056; 0.0; 1024; 1024.0; 1024; 0.0; -1.839004623763206E-5; 0.023778190666488917; 4.7765190643898165; 4.63177606243861
1000000; 1056; 1056.0; 1056; 0.0; 1024; 1024.0; 1024; 0.0; -3.0848016335797807E-5; 0.023798004001458633; 4.78448251314267; 4.63949819456259
